,"Average Days from Symptom Onset to Isolation, by Press Release Date"
2020-02-04,3.67
2020-02-05,10.0
2020-02-06,6.0
2020-02-07,5.0
2020-02-08,9.0
2020-02-09,7.0
2020-02-10,6.0
2020-02-11,4.0
2020-02-12,7.0
2020-02-13,2.4
2020-02-14,6.29
2020-02-15,10.75
2020-02-16,3.0
2020-02-18,7.0
2020-02-19,13.67
2020-02-20,5.0
2020-02-22,12.0
2020-02-24,14.0
2020-02-25,26.0
2020-02-26,7.5
2020-02-27,6.5
2020-02-28,3.0
2020-02-29,3.0
2020-03-01,6.0
2020-03-02,11.0
2020-03-03,2.0
2020-03-04,13.0
2020-03-05,4.0
2020-03-06,3.78
2020-03-07,5.2
2020-03-08,4.62
2020-03-09,4.25
2020-03-10,2.5
2020-03-11,4.5
2020-03-12,11.0
2020-03-13,5.0
2020-03-14,4.33
2020-03-15,5.67
2020-03-16,9.67
2020-03-17,6.5
2020-03-18,7.0
2020-03-19,5.0
2020-03-20,4.67
2020-03-21,8.83
2020-03-22,13.0
2020-03-23,2.83
2020-03-24,5.8
2020-03-25,4.04
2020-03-26,3.06
2020-03-27,6.56
2020-03-28,5.87
2020-03-29,5.33
2020-03-30,3.22
2020-03-31,4.65
2020-04-01,5.27
2020-04-02,6.38
2020-04-03,7.13
2020-04-04,5.17
2020-04-05,4.65
2020-04-06,3.47
2020-04-07,5.71
2020-04-08,5.92
2020-04-09,4.9
2020-04-10,4.59
2020-04-11,3.9
2020-04-12,3.97
2020-04-13,4.23
2020-04-14,4.64
2020-04-15,5.45
2020-04-16,6.67
2020-04-17,4.06
2020-04-18,3.14
2020-04-19,5.13
2020-04-20,4.33
2020-04-21,5.38
2020-04-22,5.57
2020-04-23,4.87
2020-04-24,4.79
2020-04-25,3.73
2020-04-26,3.55
2020-04-27,2.79
2020-04-28,4.5
2020-04-29,3.25
2020-04-30,3.7
2020-05-01,4.2
2020-05-02,5.67
2020-05-03,3.0
2020-05-04,12.67
2020-05-05,3.43
2020-05-06,4.36
2020-05-07,5.14
2020-05-08,8.12
2020-05-09,7.88
2020-05-10,2.0
2020-05-12,2.75
2020-05-13,4.0
2020-05-14,3.0
2020-05-15,2.0
2020-05-16,5.0
2020-05-17,2.2
2020-05-18,3.5
2020-05-20,2.67
2020-05-21,6.0
2020-05-22,13.0
2020-05-23,3.5
2020-05-24,2.33
2020-05-25,0.0
2020-05-27,5.5
2020-05-28,8.0
2020-05-29,0.0
2020-05-30,11.33
2020-05-31,3.0
2020-06-02,0.0
2020-06-05,9.0
2020-06-06,2.0
2020-06-07,3.89
2020-06-08,7.5
2020-06-10,4.0
2020-06-11,11.0
2020-06-12,3.25
2020-06-13,5.5
2020-06-14,0.67
2020-06-21,2.0
2020-06-24,3.0
2020-06-25,5.0
2020-06-27,5.0
2020-06-28,2.0
2020-06-29,4.0
2020-06-30,0.5
2020-07-01,3.25
2020-07-02,4.5
2020-07-03,2.0
2020-07-04,5.5
2020-07-05,5.2
2020-07-06,2.0
2020-07-07,3.33
2020-07-08,5.33
2020-07-09,2.8
2020-07-10,6.75
2020-07-12,7.0
2020-07-13,5.0
2020-07-14,4.0
2020-07-15,3.0
2020-07-16,6.0
2020-07-17,5.33
2020-07-18,4.67
2020-07-19,13.0
2020-07-21,5.0
2020-07-22,0.0
2020-07-23,1.33
2020-07-24,22.0
2020-07-31,1.0
2020-08-01,4.0
2020-08-06,6.5
2020-08-07,8.0
2020-08-09,5.0
2020-08-15,9.0
2020-08-21,3.0
2020-08-22,1.5
2020-08-23,11.0
2020-08-26,9.0
2020-08-27,5.0
2020-08-28,5.0
2020-09-02,4.0
2020-09-19,1.0
2020-09-28,3.5
2020-09-30,2.0
2020-10-03,1.0
2020-10-04,2.0
2020-10-18,1.0
2020-10-24,4.5
2020-11-10,6.0
2020-11-26,2.0
2020-12-30,2.0
2021-01-06,1.0
2021-01-07,2.5
2021-01-14,2.0
2021-01-16,4.67
2021-01-17,8.0
2021-01-18,6.5
2021-01-19,2.0
2021-01-20,3.0
2021-01-30,4.0
2021-02-05,2.0
2021-02-08,5.0
2021-02-11,10.0
2021-02-17,12.0
2021-02-25,2.0
2021-03-03,16.0
2021-04-07,2.0
2021-04-16,3.0
2021-04-17,1.0
2021-04-28,2.0
2021-04-29,1.25
2021-04-30,4.0
2021-05-01,1.75
2021-05-03,1.5
2021-05-05,2.0
2021-05-06,1.0
2021-05-07,2.0
2021-05-08,2.0
2021-05-09,1.86
2021-05-10,3.0
2021-05-11,6.2
2021-05-12,2.6
2021-05-13,3.9
2021-05-14,3.25
2021-05-15,1.5
2021-05-16,2.39
2021-05-17,2.67
2021-05-18,2.46
2021-05-19,1.83
2021-05-20,2.91
2021-05-21,2.69
2021-05-22,3.67
2021-05-23,2.8
2021-05-24,3.0
2021-05-25,1.44
2021-05-26,2.57
2021-05-27,1.5
2021-05-28,1.71
2021-05-29,2.1
2021-05-30,1.2
2021-05-31,3.25
2021-06-01,3.0
2021-06-02,2.4
2021-06-03,3.4
2021-06-04,1.5
2021-06-06,7.0
2021-06-08,2.0
2021-06-09,7.0
2021-06-10,2.0
2021-06-11,2.0
2021-06-12,1.75
2021-06-13,1.0
2021-06-14,1.83
2021-06-15,2.0
2021-06-16,1.62
2021-06-17,1.2
2021-06-18,1.14
2021-06-19,2.75
2021-06-20,0.8
2021-06-21,7.83
2021-06-22,1.33
2021-06-23,1.2
2021-06-24,1.5
2021-06-25,2.67
2021-06-26,1.86
2021-06-27,1.5
2021-06-29,1.0
2021-07-01,3.0
2021-07-02,0.0
2021-07-06,6.0
2021-07-07,1.0
2021-07-08,1.5
2021-07-11,2.0
2021-07-12,1.33
2021-07-13,2.29
2021-07-14,1.58
2021-07-15,1.45
2021-07-16,1.09
2021-07-17,1.26
2021-07-18,1.81
2021-07-19,1.2
2021-07-20,1.65
2021-07-21,0.91
2021-07-22,1.38
2021-07-23,1.61
2021-07-24,1.8
2021-07-25,1.53
2021-07-26,1.87
2021-07-27,1.59
2021-07-28,1.67
2021-07-29,1.67
2021-07-30,1.84
2021-07-31,2.02
2021-08-01,1.4
2021-08-02,1.77
2021-08-03,1.95
2021-08-04,1.53
2021-08-05,1.74
2021-08-06,1.19
2021-08-07,2.15
2021-08-08,3.32
2021-08-09,2.22
2021-08-10,1.83
2021-08-11,1.62
2021-08-12,1.38
2021-08-13,1.74
2021-08-14,1.22
2021-08-15,2.36
2021-08-16,1.62
2021-08-17,2.67
2021-08-18,1.29
2021-08-19,1.88
2021-08-20,1.6
2021-08-21,1.59
2021-08-22,1.85
2021-08-23,1.69
2021-08-24,1.5
2021-08-25,1.25
2021-08-26,1.32
2021-08-27,1.25
2021-08-28,1.23
2021-08-29,1.19
2021-08-30,1.42
2021-08-31,1.6
2021-09-01,1.18
2021-09-02,1.38
2021-09-03,1.22
2021-09-04,1.56
2021-09-05,1.42
2021-09-06,1.79
2021-09-07,1.62
2021-09-08,1.41
2021-09-09,1.45
2021-09-10,1.32
2021-09-11,1.26
2021-09-12,1.37
2021-09-13,1.45
2021-09-14,1.47
2021-09-15,1.54
2021-09-16,1.51
2021-09-17,1.42
2021-09-18,1.41
2021-09-19,1.84
2021-09-20,1.31
2021-09-21,1.13
2021-09-22,1.63
2021-09-23,1.0
2021-09-24,1.15
2021-09-25,0.19
2021-09-26,1.51
2021-09-27,1.67
2021-09-28,1.26
2021-09-29,1.62
2021-09-30,1.43
