,Cases Isolated before Detection by Press Release Date,Cases Isolated before Detection by Onset or Notification Date,Cases Detected through Surveillance by Press Release Date,Cases Detected through Surveillance by Onset or Notification Date
2020-12-28,0,1,0,0
2020-12-29,0,0,0,0
2020-12-30,0,1,0,0
2020-12-31,0,0,0,0
2021-01-01,2,0,0,0
2021-01-02,0,0,0,0
2021-01-03,0,0,0,1
2021-01-04,0,1,0,2
2021-01-05,1,0,0,0
2021-01-06,0,0,1,0
2021-01-07,0,1,2,2
2021-01-08,2,1,0,0
2021-01-09,0,0,0,2
2021-01-10,0,0,0,1
2021-01-11,0,0,0,2
2021-01-12,0,0,0,0
2021-01-13,0,0,0,1
2021-01-14,0,1,1,1
2021-01-15,0,0,0,0
2021-01-16,1,0,3,2
2021-01-17,0,1,2,0
2021-01-18,0,3,2,0
2021-01-19,3,2,1,0
2021-01-20,1,1,2,0
2021-01-21,3,1,0,0
2021-01-22,1,0,0,0
2021-01-23,0,0,0,1
2021-01-24,0,0,0,0
2021-01-25,0,0,0,1
2021-01-26,0,0,0,1
2021-01-27,0,0,0,0
2021-01-28,0,0,0,1
2021-01-29,0,0,0,0
2021-01-30,0,0,3,0
2021-01-31,0,0,0,1
2021-02-01,0,0,0,0
2021-02-02,0,0,0,1
2021-02-03,0,0,0,1
2021-02-04,0,0,0,2
2021-02-05,0,0,1,0
2021-02-06,0,0,0,1
2021-02-07,0,0,1,0
2021-02-08,0,1,2,0
2021-02-09,0,0,0,0
2021-02-10,0,0,0,1
2021-02-11,1,2,2,0
2021-02-12,2,0,0,0
2021-02-13,0,0,0,0
2021-02-14,0,0,0,1
2021-02-15,0,1,0,0
2021-02-16,0,0,0,0
2021-02-17,0,0,1,0
2021-02-18,0,0,0,0
2021-02-19,0,0,0,0
2021-02-20,0,1,0,0
2021-02-21,0,0,0,0
2021-02-22,1,0,0,0
2021-02-23,0,0,0,1
2021-02-24,1,0,0,1
2021-02-25,0,0,2,0
2021-02-26,0,0,0,0
2021-02-27,0,1,0,0
2021-02-28,0,0,0,0
2021-03-01,0,0,0,0
2021-03-02,0,0,0,0
2021-03-03,0,0,2,1
2021-03-04,1,0,0,0
2021-03-05,0,0,0,0
2021-03-06,0,0,0,0
2021-03-07,0,0,0,0
2021-03-08,0,0,0,0
2021-03-09,0,0,0,0
2021-03-10,0,0,0,0
2021-03-11,0,0,0,0
2021-03-12,0,0,0,0
2021-03-13,0,0,0,0
2021-03-14,0,0,0,0
2021-03-15,0,0,0,0
2021-03-16,0,0,0,0
2021-03-17,0,0,0,0
2021-03-18,0,0,0,0
2021-03-19,0,0,0,0
2021-03-20,0,0,0,0
2021-03-21,0,0,0,0
2021-03-22,0,0,0,0
2021-03-23,0,0,0,0
2021-03-24,0,0,0,0
2021-03-25,0,0,0,0
2021-03-26,0,0,0,0
2021-03-27,0,0,0,0
2021-03-28,0,0,0,0
2021-03-29,0,0,0,0
2021-03-30,0,0,0,0
2021-03-31,0,0,0,0
2021-04-01,0,0,0,0
2021-04-02,0,0,0,1
2021-04-03,0,0,0,0
2021-04-04,0,0,0,0
2021-04-05,0,0,0,0
2021-04-06,0,0,0,0
2021-04-07,0,0,1,0
2021-04-08,0,0,0,0
2021-04-09,0,0,0,0
2021-04-10,0,0,0,0
2021-04-11,0,0,0,0
2021-04-12,0,0,0,1
2021-04-13,0,1,0,0
2021-04-14,1,0,0,1
2021-04-15,0,1,0,0
2021-04-16,0,1,1,1
2021-04-17,2,0,2,1
2021-04-18,0,1,1,0
2021-04-19,1,0,0,0
2021-04-20,0,0,0,0
2021-04-21,0,2,0,1
2021-04-22,1,0,0,1
2021-04-23,0,4,0,1
2021-04-24,5,0,0,0
2021-04-25,0,1,0,1
2021-04-26,0,0,0,0
2021-04-27,1,0,0,4
2021-04-28,0,8,2,8
2021-04-29,7,4,9,7
2021-04-30,3,5,5,0
2021-05-01,2,10,5,0
2021-05-02,13,9,0,2
2021-05-03,8,3,2,2
2021-05-04,5,0,0,1
2021-05-05,0,1,1,5
2021-05-06,1,2,1,4
2021-05-07,1,4,3,13
2021-05-08,2,4,5,4
2021-05-09,3,6,7,8
2021-05-10,0,5,3,10
2021-05-11,8,13,5,5
2021-05-12,4,15,6,13
2021-05-13,13,9,11,20
2021-05-14,16,10,8,15
2021-05-15,11,16,8,18
2021-05-16,13,15,25,7
2021-05-17,6,16,15,12
2021-05-18,14,24,13,8
2021-05-19,28,18,6,7
2021-05-20,15,13,12,7
2021-05-21,17,11,13,7
2021-05-22,12,7,10,13
2021-05-23,12,14,9,10
2021-05-24,12,8,12,8
2021-05-25,8,10,10,6
2021-05-26,13,14,10,8
2021-05-27,12,11,2,6
2021-05-28,8,7,7,6
2021-05-29,13,13,10,9
2021-05-30,11,8,8,8
2021-05-31,11,4,5,3
2021-06-01,6,15,9,4
2021-06-02,17,26,6,4
2021-06-03,28,6,7,0
2021-06-04,5,7,2,0
2021-06-05,13,8,0,1
2021-06-06,5,3,1,0
2021-06-07,5,4,0,2
2021-06-08,1,2,2,4
2021-06-09,1,1,1,3
2021-06-10,1,1,3,7
2021-06-11,0,3,3,5
2021-06-12,3,5,6,9
2021-06-13,5,10,5,6
2021-06-14,12,9,6,6
2021-06-15,5,11,9,11
2021-06-16,10,11,9,11
2021-06-17,14,6,6,5
2021-06-18,5,4,9,7
2021-06-19,7,2,7,7
2021-06-20,3,6,6,8
2021-06-21,5,5,8,9
2021-06-22,3,6,12,4
2021-06-23,8,11,5,4
2021-06-24,11,5,3,9
2021-06-25,4,5,11,2
2021-06-26,5,9,8,1
2021-06-27,10,4,2,0
2021-06-28,4,3,0,2
2021-06-29,4,4,1,1
2021-06-30,5,1,0,2
2021-07-01,3,1,1,1
2021-07-02,0,3,3,1
2021-07-03,4,0,0,1
2021-07-04,0,4,1,2
2021-07-05,4,1,2,3
2021-07-06,0,3,1,1
2021-07-07,3,4,2,4
2021-07-08,0,1,3,4
2021-07-09,0,1,1,9
2021-07-10,0,2,0,9
2021-07-11,0,3,1,15
2021-07-12,5,10,3,16
2021-07-13,5,20,14,26
2021-07-14,17,16,39,37
2021-07-15,17,30,25,40
2021-07-16,24,43,29,56
2021-07-17,33,27,27,58
2021-07-18,29,36,58,74
2021-07-19,44,86,119,150
2021-07-20,81,92,101,119
2021-07-21,80,67,99,90
2021-07-22,58,67,102,66
2021-07-23,64,76,66,68
2021-07-24,69,60,57,63
2021-07-25,43,57,73,54
2021-07-26,75,53,53,81
2021-07-27,51,65,77,53
2021-07-28,59,67,68,56
2021-07-29,66,67,60,56
2021-07-30,63,46,64,42
2021-07-31,67,81,49,44
2021-08-01,66,47,43,30
2021-08-02,62,40,40,48
2021-08-03,45,36,47,33
2021-08-04,49,39,37,40
2021-08-05,37,33,54,29
2021-08-06,43,41,32,26
2021-08-07,35,31,21,19
2021-08-08,39,35,30,28
2021-08-09,34,26,23,28
2021-08-10,26,26,21,27
2021-08-11,25,27,28,28
2021-08-12,22,15,33,25
2021-08-13,18,21,25,23
2021-08-14,26,23,27,14
2021-08-15,29,14,17,19
2021-08-16,19,27,15,18
2021-08-17,21,19,17,31
2021-08-18,21,11,26,13
2021-08-19,11,19,18,30
2021-08-20,17,8,17,14
2021-08-21,11,15,21,26
2021-08-22,9,18,17,38
2021-08-23,16,15,18,77
2021-08-24,25,28,63,65
2021-08-25,19,32,73,60
2021-08-26,32,43,67,64
2021-08-27,57,44,56,81
2021-08-28,34,33,65,84
2021-08-29,30,32,79,102
2021-08-30,36,46,87,129
2021-08-31,32,41,104,131
2021-09-01,47,65,119,140
2021-09-02,50,62,127,175
2021-09-03,52,71,158,177
2021-09-04,81,78,165,178
2021-09-05,54,81,121,169
2021-09-06,71,88,144,241
2021-09-07,81,96,219,284
2021-09-08,87,105,242,343
2021-09-09,102,113,317,347
2021-09-10,119,132,341,384
2021-09-11,141,148,345,393
2021-09-12,148,137,306,512
2021-09-13,110,127,423,681
2021-09-14,129,172,627,593
2021-09-15,131,170,639,595
2021-09-16,193,206,610,667
2021-09-17,180,249,658,547
2021-09-18,229,249,698,469
2021-09-19,266,228,654,371
2021-09-20,234,225,598,698
2021-09-21,233,206,806,1012
2021-09-22,199,184,1078,970
2021-09-23,230,177,989,1072
2021-09-24,189,188,1180,1085
2021-09-25,198,297,855,1207
2021-09-26,240,232,1297,1058
2021-09-27,238,254,1041,1337
2021-09-28,236,315,1477,1532
2021-09-29,364,382,1447,1599
2021-09-30,390,406,1632,1619
2021-10-01,399,341,1678,1603
2021-10-02,297,378,1641,1542
2021-10-03,391,286,1285,1418
2021-10-04,319,235,1540,2299
2021-10-05,233,195,2535,2764
2021-10-06,210,131,2723,2551
2021-10-07,134,140,2650,2428
2021-10-08,172,86,2653,2827
2021-10-09,113,80,2755,2347
2021-10-10,77,13,2099,2100
2021-10-11,28,0,1921,2389
2021-10-12,0,0,2721,2464
2021-10-13,0,0,2687,2692
2021-10-14,0,0,2412,2580
2021-10-15,0,0,2823,2501
2021-10-16,0,0,2688,2592
2021-10-17,0,0,2454,2202
2021-10-18,0,0,2008,2410
2021-10-19,0,0,3481,3770
2021-10-20,0,0,3222,2578
2021-10-21,0,0,2932,3222
2021-10-22,0,0,3040,3012
2021-10-23,0,0,2804,3035
2021-10-24,0,0,2709,2530
2021-10-25,0,0,2842,2757
2021-10-26,0,0,2984,4702
2021-10-27,0,0,4650,3285
2021-10-28,0,0,3174,3457
2021-10-29,0,0,3707,3171
2021-10-30,0,0,2610,2362
2021-10-31,0,0,2745,2384
2021-11-01,0,0,2189,2531
2021-11-02,0,0,3352,3756
2021-11-03,0,0,3224,2708
2021-11-04,0,0,2780,2387
2021-11-05,0,0,1638,1985
2021-11-06,0,0,2928,3087
2021-11-07,0,0,2343,2178
2021-11-08,0,0,2307,2445
2021-11-09,0,0,3222,3603
2021-11-10,0,0,3243,2739
2021-11-11,0,0,2243,2485
2021-11-12,0,0,2965,2423
2021-11-13,0,0,2179,2024
2021-11-14,0,0,1651,1580
2021-11-15,0,0,1964,2158
2021-11-16,0,0,2021,3099
2021-11-17,0,0,3320,1166
